City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,altamira,-3.2033,-52.2064,86.09,70,75,8.05,BR,04/03/2023
240,adolfo lopez mateos,28.4667,-107.3,64.92,9,6,26.89,MX,04/03/2023
241,gualaquiza,-3.4,-78.55,72.54,76,95,1.14,EC,04/03/2023
242,chapais,49.7834,-74.8492,24.58,96,100,8.55,CA,04/03/2023
243,salalah,17.0151,54.0924,84.29,74,20,4.61,OM,04/03/2023
244,fort nelson,58.8053,-122.7002,25.95,71,75,5.01,CA,04/03/2023
245,saint marys,30.7305,-81.5465,80.06,83,0,9.22,US,04/03/2023
246,carrollton,32.9537,-96.8903,80.62,76,40,17.27,US,04/03/2023
247,puerto baquerizo moreno,-0.9,-89.6,83.39,79,20,9.22,EC,04/03/2023
248,smithers,54.7804,-127.1743,23.32,80,75,3.44,CA,04/03/2023
249,morondava,-20.2833,44.2833,81.43,77,2,6.15,MG,04/03/2023
250,quatre cocos,-20.2078,57.7625,80.71,77,69,7.94,MU,04/03/2023
251,los llanos de aridane,28.6585,-17.9182,71.13,78,20,18.41,ES,04/03/2023
252,jati,24.3539,68.2671,80.17,60,0,15.68,PK,04/03/2023
253,sitka,57.0531,-135.33,37.29,75,20,9.22,US,04/03/2023
254,springdale,36.1867,-94.1288,72.82,72,0,19.57,US,04/03/2023
255,cidreira,-30.1811,-50.2056,75.83,59,9,10.67,BR,04/03/2023
256,ipixuna,-1.7625,-48.8043,79.36,87,100,1.05,BR,04/03/2023
257,talnakh,69.4865,88.3972,-14.8,98,70,9.84,RU,04/03/2023
258,shawnee,39.05,-95.7669,61.25,81,100,10.36,US,04/03/2023
259,natal,-5.795,-35.2094,88.45,58,40,11.5,BR,04/03/2023
260,severodvinsk,64.5635,39.8302,30.31,86,8,8.72,RU,04/03/2023
261,mount isa,-20.7333,139.5,73.17,28,36,10.36,AU,04/03/2023
262,padang,-0.9492,100.3543,77.05,85,100,3.44,ID,04/03/2023
263,khandyga,62.6667,135.6,4.01,90,100,5.06,RU,04/03/2023
264,port hedland,-20.3167,118.5667,80.65,83,35,5.75,AU,04/03/2023
265,corner brook,48.9667,-57.9484,28.56,91,100,14.97,CA,04/03/2023
266,aitape,-3.1374,142.3475,77.63,84,91,3.91,PG,04/03/2023
267,samarai,-10.6167,150.6667,82.92,76,94,6.89,PG,04/03/2023
268,virden,39.5009,-89.7679,66.06,68,75,8.21,US,04/03/2023
269,severo-yeniseyskiy,60.3725,93.0408,28.11,93,100,11.88,RU,04/03/2023
270,shahrud,36.4182,54.9763,47.34,51,12,8.23,IR,04/03/2023
271,geraldton,-28.7667,114.6,70.21,78,70,13.8,AU,04/03/2023
272,bitung,1.4451,125.1824,76.05,83,81,4.81,ID,04/03/2023
273,pskov,57.8136,28.3496,31.91,74,75,8.99,RU,04/03/2023
274,faya,18.3851,42.4509,66.31,54,99,7.7,SA,04/03/2023
275,killybegs,54.6333,-8.45,53.31,74,100,18.9,IE,04/03/2023
276,goure,13.9835,10.2704,97.5,4,72,8.48,NE,04/03/2023
277,puro,12.4841,123.3827,79.48,80,89,10.51,PH,04/03/2023
278,portland,45.5234,-122.6762,39.2,92,100,7.0,US,04/03/2023
279,westport,41.1415,-73.3579,54.28,49,23,5.01,US,04/03/2023
280,wexford,52.3342,-6.4575,51.22,90,100,8.01,IE,04/03/2023
281,laguna,38.421,-121.4238,48.29,57,0,4.61,US,04/03/2023
282,constitucion,-35.3333,-72.4167,58.53,74,100,20.4,CL,04/03/2023
283,quebo,11.3333,-14.9333,97.27,29,23,13.62,GW,04/03/2023
284,torbay,47.6666,-52.7314,35.58,69,75,26.46,CA,04/03/2023
285,san carlos de bariloche,-41.1456,-71.3082,51.55,54,0,4.61,AR,04/03/2023
286,kaele,10.1092,14.4508,100.87,15,74,5.93,CM,04/03/2023
287,suntar,62.1444,117.6319,21.29,95,100,6.24,RU,04/03/2023
288,henties bay,-22.116,14.2845,64.81,76,1,14.38,NA,04/03/2023
289,batagay,67.6333,134.6333,1.6,96,46,5.35,RU,04/03/2023
290,flinders,-34.5833,150.8552,66.38,83,23,3.0,AU,04/03/2023
291,mahanoro,-19.9,48.8,77.43,83,78,3.27,MG,04/03/2023
292,nome,64.5011,-165.4064,5.11,85,100,6.91,US,04/03/2023
293,husavik,66.0449,-17.3389,39.04,99,100,11.07,IS,04/03/2023
294,lianzhou,24.7811,112.3825,70.21,99,100,4.72,CN,04/03/2023
295,madang,-5.2246,145.7966,75.27,94,100,5.66,PG,04/03/2023
296,osorno,-40.5667,-73.15,61.25,71,0,3.44,CL,04/03/2023
297,goderich,43.7501,-81.7165,46.9,75,100,13.8,CA,04/03/2023
298,thanh hoa,19.8,105.7667,74.68,90,4,3.94,VN,04/03/2023
299,kununurra,-15.7667,128.7333,75.18,88,51,2.3,AU,04/03/2023
300,paysandu,-32.3214,-58.0756,73.72,48,86,6.67,UY,04/03/2023
301,oktyabrskoye,43.0645,44.7417,57.34,41,75,8.95,RU,04/03/2023
302,coquimbo,-29.9533,-71.3436,60.53,100,100,4.61,CL,04/03/2023
303,palmer,42.1584,-72.3287,51.24,28,20,14.97,US,04/03/2023
304,arlit,18.7369,7.3853,93.92,4,100,8.21,NE,04/03/2023
305,beatrice,40.2681,-96.747,55.49,24,100,11.5,US,04/03/2023
306,mayor pablo lagerenza,-19.9309,-60.7718,95.85,33,81,10.58,PY,04/03/2023
307,nanortalik,60.1432,-45.2371,36.84,88,100,5.1,GL,04/03/2023
